file,symbol,kind,category,line
src/pipeline/hybrid/pipeline_metadata_manager.py,PipelineMetadataManager,class,other,16
src/pipeline/hybrid/pipeline_runner.py,PipelineRunner,class,other,19
src/pipeline/hybrid/results_processor.py,ResultsProcessor,class,other,14
src/pipeline/hybrid/selected_features_processor.py,DiscoverSelectedFeaturesFilesConfig,class,other,20
src/pipeline/hybrid/selected_features_processor.py,ProcessSelectedFeaturesFileConfig,class,other,29
src/pipeline/hybrid/selected_features_processor.py,ProcessFilesToContextsConfig,class,other,39
src/pipeline/hybrid/selected_features_processor.py,FeatureLoadRequest,class,other,49
src/pipeline/hybrid/selected_features_processor.py,SelectedFeaturesProcessor,class,other,60
src/pipeline/hybrid/storage_manager.py,StorageManager,class,other,12
src/pipeline/hybrid/test_mode_manager.py,TestModeManager,class,other,15
src/pipeline/stages/base_stage.py,BaseStage,class,other,11
src/pipeline/stages/stage_0_data_generation.py,DataGenerator,class,other,16
src/pipeline/stages/stage_0_setup.py,Stage0Setup,class,other,17
src/pipeline/stages/stage_1_collection.py,CollectionStage,class,other,15
src/pipeline/stages/stage_2_processing.py,ProcessingStage,class,other,9
src/pipeline/stages/stage_3_feature_engineering.py,FeatureEngineeringStage,class,other,9
src/pipeline/stages/stage_4_modeling.py,TargetProcessingConfig,class,model,24
src/pipeline/stages/stage_4_modeling.py,ModelingStage,class,model,33
src/pipeline/stages/stage_5_prediction.py,PredictionResultRequest,class,other,46
src/pipeline/stages/stage_5_prediction.py,PredictionStage,class,other,59
src/pipeline/stages/stage_6_trading_execution.py,TradingExecutionStage,class,other,31
src/pipeline/stages/stage_7_evaluation.py,EvaluationStage,class,other,21
src/pipeline/stages/cache/feature_cache_manager.py,FeatureEngineeringCacheManager,class,other,11
src/pipeline/stages/evaluation/backtest_analyzer.py,BacktestAnalyzer,class,analyzer,20
src/pipeline/stages/evaluation/metrics_calculator.py,MetricsCalculator,class,calculator,17
src/pipeline/stages/evaluation/report_generator.py,ReportGenerator,class,other,19
src/pipeline/stages/features/orchestrator_manager.py,FeatureEngineeringOrchestratorManager,class,other,10
src/pipeline/stages/feature_engineering/enricher.py,FeatureEnricher,class,enricher,11
src/pipeline/stages/feature_engineering/guards.py,FeatureGuards,class,validator,12
src/pipeline/stages/feature_engineering/orchestrator.py,FeatureEngineeringStage,class,other,17
src/pipeline/stages/feature_engineering/targets.py,TargetGenerator,class,other,10
src/pipeline/stages/modeling/dataclasses.py,TargetProcessingConfig,class,model,7
src/pipeline/stages/modeling/dataclasses.py,FeatureLoadingConfig,class,model,18
src/pipeline/stages/modeling/dataclasses.py,TrainingDebugInfo,class,model,29
src/pipeline/stages/modeling/dataclasses.py,SyncFeatureLoadingConfig,class,model,40
src/pipeline/stages/modeling/dataclasses.py,SuccessfulTrainingConfig,class,model,51
src/pipeline/stages/modeling/dataclasses.py,ChampionInfoConfig,class,model,64
src/pipeline/stages/modeling/dataclasses.py,SingleModelTrainingConfig,class,model,80
src/pipeline/stages/modeling/dataclasses.py,LightModelChampionConfig,class,model,100
src/pipeline/stages/monitoring/feature_monitoring.py,FeatureEngineeringMonitor,class,other,8
src/pipeline/stages/news/news_manager.py,FeatureEngineeringNewsManager,class,other,11
src/pipeline/stages/prediction/anomaly_engine.py,AnomalyEngine,class,other,16
src/pipeline/stages/prediction/data_preparation_service.py,DataPreparationService,class,other,16
src/pipeline/stages/prediction/data_preparer.py,PredictionDataPreparer,class,other,16
src/pipeline/stages/prediction/model_resolver.py,ModelResolver,class,model,14
src/pipeline/stages/prediction/model_selection_service.py,ModelSelectionService,class,model,19
src/pipeline/stages/prediction/prediction_context_manager.py,PredictionContextManager,class,other,9
src/pipeline/stages/prediction/prediction_generator.py,PredictionGenerator,class,other,14
src/pipeline/stages/prediction/result_builder.py,PredictionResultBuilder,class,other,15
src/pipeline/stages/prediction/result_request.py,PredictionResultRequest,class,other,8
src/pipeline/stages/prediction/scaler_service.py,ScalerService,class,other,17
src/pipeline/stages/processing/data_handler.py,ProcessingDataHandler,class,other,11
src/pipeline/stages/processing/orchestrator.py,ProcessingStage,class,other,19
src/pipeline/stages/processing/storage.py,ProcessingStorage,class,other,11
src/pipeline/stages/processing/validator.py,ProcessingValidator,class,validator,9
src/pipeline/stages/trading/data_io.py,TradingDataIO,class,other,14
src/pipeline/stages/trading/recommendation_engine.py,TradingRecommendationEngine,class,other,16
src/pipeline/stages/utils/collection_manager.py,CollectionManager,class,other,11
src/pipeline/stages/utils/data_schema_mapper.py,DataSchemaMapper,class,other,8
src/optimization/hyperparameters/bayesian.py,BayesianOptimizer,class,optimizer,17
src/optimization/portfolio/optimizer.py,BlackLittermanParams,class,optimizer,20
src/optimization/portfolio/optimizer.py,PortfolioOptimizer,class,optimizer,31
src/monitoring/infrastructure/resource_monitor.py,ResourceMonitor,class,other,15
src/monitoring/reporting/performance_reports.py,ComprehensiveReporter,class,other,14
src/models/actions/action_trigger.py,ActionTrigger,class,model,15
src/models/adapters/sentiment_integration.py,SentimentModelIntegrator,class,model,14
src/models/adapters/unified_model_adapter.py,UnifiedModelAdapter,class,model,20
src/models/analysis/baseline_dominance_detector.py,BaselineDominanceDetector,class,model,19
src/models/analysis/model_analyzer.py,ModelAnalyzer,class,model,23
src/models/analysis/model_health_analyzer.py,ModelHealthAnalyzer,class,model,15
src/models/analysis/overfitting_detector.py,OverfittingDetector,class,model,14
src/models/analysis/regime_winner_analyzer.py,RegimeWinnerAnalyzer,class,model,19
src/models/dean/dean_bootstrap_system.py,ModelRole,class,model,23
src/models/dean/dean_bootstrap_system.py,DeanAction,class,model,31
src/models/dean/dean_bootstrap_system.py,DeanCritique,class,model,41
src/models/dean/dean_bootstrap_system.py,DeanSimulation,class,model,50
src/models/dean/dean_bootstrap_system.py,DeanBootstrapSystem,class,model,58
src/models/ensemble/confidence_calibrator.py,ConfidenceCalibrator,class,model,20
src/models/ensemble/dynamic_weights.py,DynamicWeightCalculator,class,calculator,33
src/models/ensemble/enhanced_ensemble.py,EnhancedEnsembleModel,class,model,16
src/models/ensemble/ensemble_model.py,EnsembleModel,class,model,15
src/models/ensemble/model_correlation_analyzer.py,ModelCorrelationAnalyzer,class,model,15
src/models/ensemble/weight_stability_monitor.py,WeightStabilityMonitor,class,model,13
src/models/ensembling/composer.py,EnsembleResult,class,model,9
src/models/ensembling/composer.py,EnsembleComposer,class,model,18
src/models/health/model_health_evaluator.py,ModelHealthEvaluator,class,model,16
src/models/linear/knn_model.py,KNNModel,class,model,14
src/models/linear/linear_model.py,LinearModel,class,model,14
src/models/linear/svm_model.py,SVMModel,class,model,14
src/models/model_selector/adaptive_selector.py,AdaptiveModelSelector,class,model,50
src/models/model_selector/fingerprint_selector.py,SmartModelSelector,class,model,9
src/models/model_selector/heavy_light_comparator.py,ModelPerformanceMetrics,class,model,15
src/models/model_selector/heavy_light_comparator.py,HeavyLightModelComparator,class,model,27
src/models/model_selector/smart_selector.py,SmartModelSelector,class,model,15
src/models/monitoring/prediction_drift_monitor.py,PredictionDriftMonitor,class,model,24
src/models/neural/autoencoder_model.py,AutoencoderModel,class,model,13
src/models/neural/base_neural.py,BaseNeuralModel,class,model,16
src/models/neural/cnn_model.py,CNNModel,class,model,15
src/models/neural/gru_model.py,GRUModel,class,model,13
src/models/neural/lstm_model.py,LSTMModel,class,model,13
src/models/neural/mlp_model.py,MLPModel,class,model,11
src/models/neural/tabnet_model.py,TabNetModel,class,model,21
src/models/neural/transformer_model.py,TransformerModel,class,model,20
src/models/prototypes/prototype.py,ModelPrototype,class,model,17
src/models/prototypes/registry.py,PrototypeRegistry,class,model,17
src/models/quality/controller.py,ModelQualityController,class,model,19
src/models/registry/model_registry.py,ModelRegistry,class,model,18
src/models/statistics/model_statistics.py,ModelStatistics,class,model,17
src/models/tree/catboost_model.py,CatBoostModel,class,model,13
src/models/tree/lightgbm_model.py,LightGBMModel,class,model,14
src/models/tree/random_forest_model.py,RandomForestModel,class,model,14
src/models/tree/xgboost_model.py,XGBoostModel,class,model,13
src/models/monitoring/drift/alert_system.py,AlertSystem,class,model,15
src/models/monitoring/drift/analyzer.py,DriftAnalyzer,class,model,10
src/models/monitoring/drift/drift_calculator.py,DriftCalculator,class,calculator,17
src/models/monitoring/drift/drift_visualizer.py,DriftVisualizer,class,model,17
src/models/monitoring/drift/history.py,HistoryManager,class,model,10
src/models/ensemble/calibration/base.py,CalibrationStrategy,class,model,9
src/models/ensemble/calibration/strategies.py,PlattScalingStrategy,class,model,10
src/models/ensemble/calibration/strategies.py,IsotonicRegressionStrategy,class,model,28
src/models/ensemble/correlation/correlation_engine.py,CorrelationEngine,class,model,21
src/models/ensemble/correlation/correlation_visualizer.py,CorrelationVisualizer,class,model,19
src/models/ensemble/weight_stability/analyzer.py,WeightStabilityAnalyzer,class,model,9
src/models/ensemble/weight_stability/calculator.py,WeightStabilityCalculator,class,calculator,9
src/models/ensemble/weight_stability/config.py,WeightStabilityConfig,class,model,2
src/models/ensemble/weight_stability/manager.py,WeightStabilityMonitor,class,model,14
src/models/ensemble/weight_stability/stabilizer.py,WeightStabilizer,class,model,7
src/models/ensemble/weight_stability/visualizer.py,WeightStabilityVisualizer,class,model,13
src/models/analysis/baseline/comparison.py,BaselineComparisonEngine,class,model,6
src/models/analysis/baseline/recommendations.py,BaselineRecommendationEngine,class,model,6
src/models/analysis/baselines/base.py,BaseBaseline,class,model,8
src/models/analysis/baselines/models.py,LinearRegressionBaseline,class,model,16
src/models/analysis/baselines/models.py,SimpleRandomForestBaseline,class,model,49
src/models/analysis/baselines/strategies.py,BuyAndHoldBaseline,class,model,13
src/models/analysis/baselines/strategies.py,MovingAverageBaseline,class,model,41
src/models/analysis/baselines/strategies.py,MeanReversionBaseline,class,model,80
src/models/analysis/overfitting_detection/analyzer.py,OverfittingAnalyzer,class,model,12
src/models/analysis/overfitting_detection/config.py,OverfittingConfig,class,model,7
src/models/analysis/overfitting_detection/manager.py,OverfittingDetector,class,model,15
src/models/analysis/overfitting_detection/metrics.py,OverfittingMetrics,class,model,11
src/models/analysis/overfitting_detection/visualizer.py,OverfittingVisualizer,class,model,11
src/models/analysis/regime/detector.py,RegimeDetector,class,model,10
src/models/analysis/regime/metrics.py,RegimeMetrics,class,model,9
