feature,hold,net,beta,correlation,hedged,cost_of_hedging
SORTINO_RATIO_1d,120,-0.0992726351372958,0.0030404345258626523,0.008045533905652803,-0.10718314181737804,0.007910506680082238
insider_net_value_30d_1d,1,-1.9120849020158253,-0.0065374583530944065,-0.08452215855910225,-1.9696778311049976,0.05759292908917235
insider_net_value_30d_1d,5,-0.5632752747020024,-0.005521176859266884,-0.06712786394179002,-0.5199483649771707,-0.043326909724831775
insider_net_value_30d_1d,20,-0.2766097421313583,-0.0014379401578055529,-0.017028299514757806,-0.2606345312767182,-0.0159752108546401
insider_net_value_30d_1d,40,-0.21390712038248857,0.0033568714806899076,0.03730858537654544,-0.25179965293497253,0.037892532552483954
insider_net_value_30d_1d,60,-0.1558260800333263,0.007779228916790956,0.07475171447609666,-0.23402761613570838,0.07820153610238209
insider_net_value_30d_1d,120,-0.03394763823277584,0.0365781686023311,0.25661508474963096,-0.30821496111729085,0.274267322884515
ROLLING_SKEW_20_1d,1,-6.890447721516388,0.009176935587617651,0.03886263369261582,-6.872399358469402,-0.01804836304698565
ROLLING_SKEW_20_1d,5,-1.5235283914385884,0.01963230598760926,0.07925338014499077,-1.580652654554079,0.05712426311549068
ROLLING_SKEW_20_1d,20,-0.20004251426005543,0.0276354022901692,0.10617752902769877,-0.30198456278922053,0.10194204852916511
ROLLING_SKEW_20_1d,40,-0.01888465277966044,0.043326835679270474,0.1493290050697078,-0.17329354040052453,0.15440888762086408
ROLLING_SKEW_20_1d,60,0.03429006740993721,0.06987628676466477,0.2132657731890729,-0.1911427016728631,0.2254327690828003
ROLLING_SKEW_20_1d,120,0.11502274658881657,0.0882921176526314,0.2451626675693369,-0.13373526328072105,0.2487580098695376
market_context_volatility_ratio_1d,1,-6.7593385327450894,0.009263337193403358,0.03971867866762017,-6.740905818460868,-0.018432714284221774
market_context_volatility_ratio_1d,5,-1.3044795070584139,0.005197280265578328,0.020584756854583903,-1.3183595999373179,0.013880092878904016
market_context_volatility_ratio_1d,20,-0.4274858027046816,-0.0165773086788085,-0.06596841202581276,-0.366705537445538,-0.060780265259143595
market_context_volatility_ratio_1d,40,-0.2220046588455986,-0.022662235699283332,-0.08148096056093199,-0.141317895894501,-0.08068676295109761
market_context_volatility_ratio_1d,60,-0.13850150338939216,-0.01392254910580465,-0.044007744225184615,-0.09450123613212534,-0.044000267257266815
market_context_volatility_ratio_1d,120,-0.11371044187499878,-0.05518121635124,-0.14819401182786202,0.04119466376335241,-0.1549051056383512
LEVEL_DIST_SUPPORT_20_1d,1,-5.015517515613848,0.07493794160162817,0.2422886083186722,-5.020208860718386,0.004691345104538058
LEVEL_DIST_SUPPORT_20_1d,5,-0.9628085484910376,0.07573768445213584,0.23606415944081538,-1.1511084173259833,0.18829986883494576
LEVEL_DIST_SUPPORT_20_1d,20,0.11603310940292837,0.09936399956320544,0.3004178494470402,-0.17385181107019002,0.28988492047311837
LEVEL_DIST_SUPPORT_20_1d,40,0.3001044365925814,0.14850981078502323,0.39581572631657214,-0.10578810413956667,0.4058925407321481
LEVEL_DIST_SUPPORT_20_1d,60,0.38984511819611944,0.18072940796962228,0.44353018761426743,-0.07569952593610729,0.46554464413222674
LEVEL_DIST_SUPPORT_20_1d,120,0.39090394082104324,0.25965134796387696,0.5610876239409167,-0.20573298360728068,0.596636924428324
peer_divergence_1d,1,-8.243291491823276,-0.02520910770799723,-0.11854787145861644,-8.373228833502946,0.12993734167966942
peer_divergence_1d,5,-2.338880221631464,-0.0307925168288587,-0.13942560333270576,-2.2693036824695536,-0.06957653916191031
peer_divergence_1d,20,-0.6642433633406946,-0.028036895935934458,-0.1241680028548687,-0.5509274217417113,-0.11331594159898328
peer_divergence_1d,40,-0.3381396860328394,-0.01992563920024633,-0.08113412974723469,-0.2562303613331237,-0.08190932469971568
peer_divergence_1d,60,-0.21264279532900934,-0.01804304011619508,-0.06722933229354863,-0.14299934522115698,-0.06964345010785236
peer_divergence_1d,120,-0.11294837614915695,-0.02760086523111276,-0.08820321056322045,-0.020089554416794178,-0.09285882173236278
market_context_volatility_20d_1d,1,-3.1644158994617304,0.27403190566532293,0.6777346284194348,-3.7523497714910907,0.5879338720293603
market_context_volatility_20d_1d,5,-0.14504464485168467,0.2912617444923919,0.67916107646936,-0.8077123002124612,0.6626676553607765
