file,stage_symbols,imported_by_count,has_execute_or_run,status,recommendation
pipeline/hybrid/pipeline_config.py,PipelineParams;FinalStagesParams,5,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/pipeline_executor.py,PipelineExecutor,3,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/pipeline_manager.py,PipelineManager,4,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/pipeline_metadata_manager.py,PipelineMetadataManager,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/pipeline_runner.py,PipelineRunner,3,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/results_processor.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/selected_features_processor.py,,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/storage_helpers.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/hybrid/storage_manager.py,,4,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/test_mode_manager.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/__init__.py,,477,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/stages/base_stage.py,BaseStage,9,True,LIKELY_REACHABLE,Add smoke/runtime test for this stage.
pipeline/stages/stage_0_data_generation.py,,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/stages/stage_0_setup.py,Stage0Setup,0,True,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/stages/stage_1_collection.py,CollectionStage,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/stages/stage_2_processing.py,ProcessingStage,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/stages/stage_3_feature_engineering.py,FeatureEngineeringStage,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/stages/stage_4_modeling.py,ModelingStage,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/stages/stage_5_prediction.py,PredictionStage,4,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/stages/stage_6_trading_execution.py,TradingExecutionStage,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/stages/stage_7_evaluation.py,EvaluationStage,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/stages/__init__.py,,478,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
