feature,measured,dtype,history,coverage,uniq,mode_share,varies,verdict
state_SMA_20_1d,True,float64,623398,1.0,3,0.435615770342542,0.9970588235294118,can carry a cross-sectional signal
state_SMA_50_1d,True,float64,623398,1.0,3,0.5144418172660162,0.9951470588235294,can carry a cross-sectional signal
state_SMA_5_1d,True,float64,623398,1.0,3,0.39530765257508044,0.9992647058823529,can carry a cross-sectional signal
state_SORTINO_RATIO_1d,True,float64,623398,1.0,3,0.5158951424290742,0.9997058823529412,can carry a cross-sectional signal
state_Stoch_D_1d,True,float64,623398,1.0,3,0.5203481563944703,0.9995588235294117,can carry a cross-sectional signal
state_Stoch_K_1d,True,float64,623398,1.0,3,0.5390216202169401,1.0,can carry a cross-sectional signal
state_VELOCITY_10_1d,True,float64,623398,1.0,3,0.7342067186612726,0.9988235294117647,can carry a cross-sectional signal
state_VELOCITY_1_1d,True,float64,623398,1.0,3,0.6860159962014636,0.9997058823529412,can carry a cross-sectional signal
state_VELOCITY_5_1d,True,float64,623398,1.0,3,0.7414508869133363,0.9994117647058823,can carry a cross-sectional signal
state_VOLATILITY_20_1d,True,float64,623398,1.0,3,0.6521259291816784,0.9970588235294118,can carry a cross-sectional signal
state_VOLATILITY_50_1d,True,float64,623398,1.0,3,0.6481172541458265,0.9942647058823529,can carry a cross-sectional signal
state_VOLATILITY_5_1d,True,float64,623398,1.0,3,0.6156404094976243,0.9992647058823529,can carry a cross-sectional signal
state_Williams_R_1d,True,float64,623398,1.0,3,0.5297707082794619,1.0,can carry a cross-sectional signal
state_atr_14_1d,True,float64,623398,1.0,3,0.45965498766438134,0.9998529411764706,can carry a cross-sectional signal
state_close_1d,True,float64,623398,1.0,3,0.4541945915771305,0.9998529411764706,can carry a cross-sectional signal
state_days_since_last_significant_1d,True,float64,623398,1.0,3,0.5953917080260123,0.9995588235294117,can carry a cross-sectional signal
state_fund_days_since_report_1d,True,float64,623398,1.0,3,0.8782687785331361,0.5270588235294118,can carry a cross-sectional signal
state_gk_volatility_1d,True,float64,623398,1.0,3,0.5797772851372638,0.9975,can carry a cross-sectional signal
state_high_1d,True,float64,623398,1.0,3,0.47359632209278824,0.9998529411764706,can carry a cross-sectional signal
state_is_significant_decayed_1d,True,float64,623398,1.0,3,0.6051832055925749,0.9998529411764706,can carry a cross-sectional signal
state_low_1d,True,float64,623398,1.0,3,0.4681118643306523,0.9998529411764706,can carry a cross-sectional signal
state_macro_composite_score_1d,True,float64,623398,1.0,3,0.5584073096160077,0.9120588235294118,can carry a cross-sectional signal
state_market_breadth_1d,True,float64,623398,1.0,3,0.6363928020301637,0.8191176470588235,can carry a cross-sectional signal
state_market_return_1d,True,float64,623398,1.0,3,0.7192531897760339,0.7711764705882352,can carry a cross-sectional signal
state_obv_1d,True,float64,623398,1.0,3,0.41572799399420596,1.0,can carry a cross-sectional signal
state_open_1d,True,float64,623398,1.0,3,0.4534615125489655,0.9998529411764706,can carry a cross-sectional signal
state_peer_breadth_1d,True,float64,623398,1.0,3,0.6134941080978765,0.9994117647058823,can carry a cross-sectional signal
state_peer_breadth_excess_1d,True,float64,623398,1.0,3,0.6768099993904376,0.9994117647058823,can carry a cross-sectional signal
state_peer_divergence_1d,True,float64,623398,1.0,3,0.7265326484845958,1.0,can carry a cross-sectional signal
state_peer_return_1d,True,float64,623398,1.0,3,0.7260722684384615,0.9973529411764706,can carry a cross-sectional signal
state_peer_return_excess_1d,True,float64,623398,1.0,3,0.722591346138422,0.9997058823529412,can carry a cross-sectional signal
state_peer_volatility_1d,True,float64,623398,1.0,3,0.5468240193263373,0.9998529411764706,can carry a cross-sectional signal
state_price_volume_trend_1d,True,float64,623398,1.0,3,0.7352317460113763,0.9994117647058823,can carry a cross-sectional signal
state_returns_1d,True,float64,623398,1.0,3,0.6862084896005441,0.9997058823529412,can carry a cross-sectional signal
state_significance_intensity_7d_1d,True,float64,623398,1.0,3,0.8231867923862444,0.9961764705882353,can carry a cross-sectional signal
state_significant_events_30d_1d,True,float64,623398,1.0,3,0.7954805758119211,0.9991176470588236,can carry a cross-sectional signal
state_significant_events_7d_1d,True,float64,623398,1.0,3,0.8231916047212214,0.9961764705882353,can carry a cross-sectional signal
state_volatility_10_1d,True,float64,623398,1.0,3,0.6279583829271188,0.9988235294117647,can carry a cross-sectional signal
state_volatility_20_1d,True,float64,623398,1.0,3,0.6519719344624141,0.9972058823529412,can carry a cross-sectional signal
state_volatility_5_1d,True,float64,623398,1.0,3,0.6156035149294672,0.9992647058823529,can carry a cross-sectional signal
state_volume_1d,True,float64,623398,1.0,3,0.4855004347142596,0.9997058823529412,can carry a cross-sectional signal
state_volume_roc_1d,True,float64,623398,1.0,3,0.7565503899595443,0.9989705882352942,can carry a cross-sectional signal
state_volume_rs_1d,True,float64,623398,1.0,3,0.4849486203035621,0.9998529411764706,can carry a cross-sectional signal
state_volume_sma_10_1d,True,float64,623398,1.0,3,0.45638099576835345,0.9998529411764706,can carry a cross-sectional signal
state_volume_sma_5_1d,True,float64,623398,1.0,3,0.4605260202952207,0.9997058823529412,can carry a cross-sectional signal
volatility_10_1d,True,float32,623398,1.0,615221,0.0001363494910153706,1.0,can carry a cross-sectional signal
volatility_20_1d,True,float32,623398,1.0,614700,7.539324797320492e-05,1.0,can carry a cross-sectional signal
volatility_5_1d,True,float32,623398,1.0,616002,0.0002085345156705668,1.0,can carry a cross-sectional signal
volatility_regime_1d,False,category,623398,1.0,5,0.32768311736643363,0.9967647058823529,can carry a cross-sectional signal
volume,True,float32,623398,1.0,369685,0.0003416757833679287,1.0,can carry a cross-sectional signal
volume_roc_1d,True,float32,623398,1.0,619361,0.00035611278829896794,1.0,can carry a cross-sectional signal
volume_rs_1d,True,float32,623398,1.0,610557,0.00034969634166295046,1.0,can carry a cross-sectional signal
volume_sma_10_1d,True,float32,623398,1.0,571387,0.00010266314617627904,1.0,can carry a cross-sectional signal
volume_sma_5_1d,True,float32,623398,1.0,530373,0.0001684317241954578,1.0,can carry a cross-sectional signal
entity_count_1d,True,float64,623398,1.0,1,1.0,0.0,constant
fear_greed_available_1d,True,float64,623398,1.0,1,1.0,0.0,constant
filing_data_available_1d,True,float64,623398,1.0,1,1.0,0.0,constant
hour_1d,True,float64,623398,1.0,1,1.0,0.0,constant
hour_cos_1d,True,float32,623398,1.0,1,1.0,0.0,constant
hour_sin_1d,True,float32,623398,1.0,1,1.0,0.0,constant
hype_available_1d,True,float64,623398,1.0,1,1.0,0.0,constant
hype_score_1d,True,float32,623398,1.0,1,1.0,0.0,constant
keyword_count_1d,True,float64,623398,1.0,1,1.0,0.0,constant
keyword_entity_available_1d,True,float64,623398,1.0,1,1.0,0.0,constant
market_context_hour_of_day_1d,True,float32,623398,1.0,1,1.0,0.0,constant
market_session_1d,True,float64,623398,1.0,1,1.0,0.0,constant
news_coverage_1d,True,float64,623398,1.0,1,1.0,0.0,constant
news_freshness_hours_1d,True,float32,623398,1.0,1,1.0,0.0,constant
news_impact_available_1d,True,float64,623398,1.0,1,1.0,0.0,constant
news_impact_score_1d,True,float32,623398,1.0,1,1.0,0.0,constant
news_intensity_1d,True,float32,623398,1.0,1,1.0,0.0,constant
news_quality_available_1d,True,float64,623398,1.0,1,1.0,0.0,constant
news_quality_score_1d,True,float32,623398,1.0,1,1.0,0.0,constant
news_significance_level_1d,True,float64,623398,1.0,1,1.0,0.0,constant
news_source_count_1d,True,float64,623398,1.0,1,1.0,0.0,constant
nlp_sentiment_score_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_available_1d,True,float64,623398,1.0,1,1.0,0.0,constant
sentiment_decay_weighted_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_ema_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_mean_1d,True,float32,623288,0.9998235477175095,1,1.0,0.0,constant
sentiment_neg_threshold_1d,True,float32,623288,0.9998235477175095,1,1.0,0.0,constant
sentiment_pos_threshold_1d,True,float32,623288,0.9998235477175095,1,1.0,0.0,constant
sentiment_sma_20_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_sma_50_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_sma_5_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_std_20_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_std_50_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_std_5_1d,True,float32,623398,1.0,1,1.0,0.0,constant
sentiment_std_stat_1d,True,float32,623288,0.9998235477175095,1,1.0,0.0,constant
sentiment_velocity_1d,True,float32,623398,1.0,1,1.0,0.0,constant
state_FRED_BAMLC0A0CM_1d,True,float64,623398,1.0,1,1.0,0.0,constant
