iter	Passed	Remaining
902	5210	559
903	5214	553
904	5221	548
905	5226	542
906	5231	536
907	5236	530
908	5240	524
909	5246	518
910	5251	513
911	5256	507
912	5261	501
913	5266	495
914	5271	489
915	5276	483
916	5281	478
917	5285	472
918	5290	466
919	5296	460
920	5302	454
921	5308	449
922	5313	443
923	5318	437
924	5324	431
925	5329	425
926	5334	420
927	5340	414
928	5345	408
929	5349	402
930	5355	396
931	5360	391
932	5364	385
933	5371	379
934	5375	373
935	5380	367
936	5386	362
937	5391	356
938	5396	350
939	5402	344
940	5407	339
941	5411	333
942	5418	327
943	5422	321
944	5427	315
945	5433	310
946	5437	304
947	5442	298
948	5448	292
949	5452	286
950	5457	281
951	5463	275
952	5468	269
953	5472	263
954	5478	258
955	5483	252
956	5488	246
957	5494	240
958	5499	235
959	5505	229
960	5511	223
961	5516	217
962	5523	212
963	5529	206
964	5537	200
965	5543	195
966	5547	189
967	5552	183
968	5558	177
969	5563	172
970	5567	166
971	5573	160
972	5577	154
973	5582	149
974	5588	143
975	5593	137
976	5598	131
977	5605	126
978	5609	120
979	5614	114
980	5620	108
981	5624	103
982	5629	97
983	5635	91
984	5640	85
985	5644	80
986	5650	74
987	5656	68
988	5661	62
989	5667	57
990	5671	51
991	5678	45
992	5683	40
993	5687	34
994	5694	28
995	5698	22
996	5703	17
997	5710	11
998	5715	5
999	5721	0
